,Title,Year,Runtime,Genres,Description,Metascore,Rating,Votes
0,Mortal Kombat,(2021),-,"Action, Adventure, Fantasy",MMA fighter Cole Young seeks out Earth's greatest champions in order to stand against the enemies of Outworld in a high stakes battle for the universe.,-,-,-
1,I Care a Lot,(2020),118 min,"Comedy, Crime, Thriller",A crooked legal guardian who drains the savings of her elderly wards meets her match when a woman she tries to swindle turns out to be more than she first appears.,65 ,6.2,"33,400"
2,Boss Level,(2020),100 min,"Action, Mystery, Sci-Fi",A retired special forces officer is trapped in a never ending time loop on the day of his death.,-,6.8,"3,268"
3,The Little Things,(2021),128 min,"Crime, Drama, Thriller","Kern County Deputy Sheriff Joe Deacon is sent to Los Angeles for what should have been a quick evidence-gathering assignment. Instead, he becomes embroiled in the search for a serial killer who is terrorizing the city.",54 ,6.3,"39,392"
4,Wrong Turn,(2021),109 min,"Horror, Thriller","Friends hiking the Appalachian Trail are confronted by 'The Foundation', a community of people who have lived in the mountains for hundreds of years.",50 ,5.4,"7,410"
5,Willy's Wonderland,(2021),88 min,"Action, Comedy, Horror","A quiet drifter is tricked into a janitorial job at the now condemned Willy's Wonderland. The mundane tasks suddenly become an all-out fight for survival against wave after wave of demonic animatronics. Fists fly, kicks land, titans clash -- and only one side will make it out alive.",42 ,5.6,"5,876"
6,Greenland,(2020),119 min,"Action, Drama, Thriller",A family struggles for survival in the face of a cataclysmic natural disaster.,64 ,6.4,"64,103"
7,Red Dot,(2021),86 min,"Drama, Horror, Thriller","When Nadja becomes pregnant, they make an attempt to rekindle their relationship by traveling to the north of Sweden for a hiking trip but soon their romantic trip turns into a nightmare.",-,5.5,"7,483"
8,Promising Young Woman,(2020),113 min,"Crime, Drama, Thriller","A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path.",72 ,7.5,"37,377"
9,Tenet,(2020),150 min,"Action, Sci-Fi, Thriller","Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",69 ,7.5,"301,027"
10,Silk Road,(2021),112 min,"Crime, Drama, Thriller","Philosophical twenty-something Ross Ulbricht creates Silk Road, a dark net website that sells drugs, while DEA agent Rick Bowden goes undercover to bring him down.",42 ,5.8,796
11,Godzilla vs. Kong,(2021),-,"Action, Sci-Fi, Thriller",The epic next chapter in the cinematic Monsterverse pits two of the greatest icons in motion picture history against one another - the fearsome Godzilla and the mighty Kong - with humanity caught in the balance.,-,-,-
12,The Silence of the Lambs,(1991),118 min,"Crime, Drama, Thriller","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",85 ,8.6,"1,278,197"
13,The Vault,(2021),118 min,"Action, Adventure, Thriller","Thom, a genius engineering graduate is interested in the Bank of Spain's safe. The Bank building is more than 100 years old, with no building blueprints available and a security system that...                See full summary »
",-,6.9,163
14,The Trial of the Chicago 7,(2020),129 min,"Drama, History, Thriller","The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",77 ,7.8,"100,982"
15,Old,(2021),-,Thriller,"This summer, visionary filmmaker M. Night Shyamalan unveils a chilling, mysterious new thriller about a family on a tropical holiday who discover that the secluded beach where they are ...                See full summary »
",-,-,-
16,Parasite,(2019),132 min,"Comedy, Drama, Thriller",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,96 ,8.6,"567,321"
17,Knives Out,(2019),130 min,"Comedy, Crime, Drama","A detective investigates the death of a patriarch of an eccentric, combative family.",82 ,7.9,"465,058"
18,F9,(2021),145 min,"Action, Adventure, Crime","Cypher enlists the help of Jakob, Dom's younger brother to take revenge on Dom and his team.",-,-,-
19,Freaky,(2020),102 min,"Comedy, Horror, Thriller","After swapping bodies with a deranged serial killer, a young girl in high school discovers she has less than 24 hours before the change becomes permanent.",66 ,6.3,"24,746"
20,Joker,(2019),122 min,"Crime, Drama, Thriller","In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",59 ,8.4,"953,322"
21,Mortal Kombat,(1995),101 min,"Action, Adventure, Fantasy",Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.,58 ,5.8,"103,384"
22,Below Zero,(2021),106 min,"Action, Adventure, Crime","On a lonely road, a prison transport is brutally assaulted. Martin, the policeman who was driving, survives and fortifies his position while the con men search for a way to finish him.",-,6.2,"11,710"
23,Inception,(2010),148 min,"Action, Adventure, Sci-Fi",A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,74 ,8.8,"2,078,684"
24,Shutter Island,(2010),138 min,"Mystery, Thriller","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",63 ,8.2,"1,137,940"
25,Dunkirk,(2017),106 min,"Action, Drama, History","Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",94 ,7.8,"559,541"
26,The Dark Knight,(2008),152 min,"Action, Crime, Drama","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",84 ,9.0,"2,314,712"
27,1917,(2019),119 min,"Drama, Thriller, War","April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",78 ,8.3,"436,053"
28,Breaking News in Yuba County,(2021),96 min,"Comedy, Crime, Drama",A woman takes advantage of her growing celebrity status when the police and the public think her dead husband is just missing.,24 ,5.5,"1,020"
29,Midsommar,(2019),148 min,"Drama, Horror, Mystery",A couple travels to Scandinavia to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,72 ,7.1,"204,834"
30,Fear of Rain,(2021),109 min,"Drama, Horror, Thriller",A girl living with schizophrenia struggles with terrifying hallucinations as she begins to suspect her neighbor has kidnapped a child. The only person who believes her is Caleb -a boy she isn't even sure exists.,-,5.9,"1,180"
31,X-Men: Days of Future Past,(2014),132 min,"Action, Adventure, Sci-Fi",The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,75 ,7.9,"662,371"
32,The Devil All the Time,(2020),138 min,"Crime, Drama, Thriller",Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.,55 ,7.1,"94,569"
33,Gone Girl,(2014),149 min,"Drama, Mystery, Thriller","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",79 ,8.1,"865,038"
34,Mission: Impossible 7,(2021),-,"Action, Adventure, Thriller",Seventh entry in the long-running Mission: Impossible series.,-,-,-
35,Run Hide Fight,(2020),109 min,"Action, Thriller","17-year-old Zoe Hull uses her wits, survival skills, and compassion to fight for her life, and those of her fellow classmates, against a group of live-streaming school shooters.",13 ,6.5,"13,129"
36,Drishyam 2,(2021),152 min,"Drama, Thriller",A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?,-,8.9,"15,592"
37,The Vanished,(2020),115 min,"Action, Mystery, Thriller","Story of a husband and wife that will stop at nothing to find their missing daughter, who disappeared on a family camping trip. When the police don't catch any leads, the duo take over.",-,5.6,"6,611"
38,The Departed,(2006),151 min,"Crime, Drama, Thriller",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,85 ,8.5,"1,195,950"
39,Let Him Go,(2020),113 min,"Crime, Drama, Thriller","A retired sheriff and his wife, grieving over the death of their son, set out to find their only grandson.",63 ,6.7,"11,676"
40,Jurassic Park,(1993),127 min,"Action, Adventure, Sci-Fi",A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,68 ,8.1,"871,590"
41,Army of the Dead,(2021),-,"Action, Crime, Horror","Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.",-,-,-
42,The Marksman,(2021),108 min,"Action, Thriller",A rancher on the Arizona border becomes the unlikely defender of a young Mexican boy desperately fleeing the cartel assassins who've pursued him into the U.S.,44 ,5.9,"1,834"
43,Se7en,(1995),127 min,"Crime, Drama, Mystery","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",65 ,8.6,"1,453,526"
44,Blade Runner 2049,(2017),164 min,"Action, Drama, Mystery","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",81 ,8.0,"465,379"
45,Get Out,(I) (2017),104 min,"Horror, Mystery, Thriller","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",85 ,7.7,"496,605"
46,The Prestige,(2006),130 min,"Drama, Mystery, Sci-Fi","After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",66 ,8.5,"1,196,581"
47,The Mauritanian,(2021),129 min,"Drama, Thriller",Mohamedou Ould Salahi fights for freedom after being detained and imprisoned without charge by the U.S. Government for years.,53 ,7.2,706
48,The Midnight Sky,(2020),118 min,"Drama, Fantasy, Sci-Fi","This post-apocalyptic tale follows Augustine, a lonely scientist in the Arctic, as he races to stop Sully and her fellow astronauts from returning home to a mysterious global catastrophe.",58 ,5.6,"66,852"
49,The Rental,(2020),88 min,"Drama, Horror, Mystery",Two couples rent a vacation home for what should be a celebratory weekend get-away.,62 ,5.7,"18,028"
